,Name,Kurs,%,Absolut,Zeit,Handelsvolumen,ISIN
0,ADIDAS,"175,52€","-1,14%","-2,02",16:09,103 Tsd.,DE000A1EWWW0
1,AIRBUS GROUP,"148,24€","-0,59%","-0,88",16:09,92 Tsd.,NL0000235190
2,ALLIANZ,"241,60€","-0,04%","-0,10",16:09,183 Tsd.,DE0008404005
3,BASF,"44,55€","-0,51%","-0,23",16:09,576 Tsd.,DE000BASF111
4,BAYER,"33,61€","-1,87%","-0,64",16:09,2 Mio.,DE000BAY0017
5,BEIERSDORF,"135,00€","-2,28%","-3,15",16:09,128 Tsd.,DE0005200000
6,BMW ST,"95,66€","-1,23%","-1,19",16:09,378 Tsd.,DE0005190003
7,BRENNTAG SE NA O.N.,"82,06€","-0,05%","-0,04",16:07,86 Tsd.,DE000A1DAHH0
8,COMMERZBANK,"11,49€","+1,23%","+0,14",16:10,4 Mio.,DE000CBK1001
9,CONTINENTAL,"73,68€","+1,21%","+0,88",16:09,237 Tsd.,DE0005439004
10,COVESTRO AG O.N.,"48,72€","-1,02%","-0,50",16:08,194 Tsd.,DE0006062144
11,DAIMLER TRUCK HLDG NA ON,"32,02€","-0,87%","-0,28",16:09,561 Tsd.,DE000DTR0CK8
12,DR.ING.H.C.F.PORSCHE VZO,"73,72€","-2,36%","-1,78",16:10,558 Tsd.,DE000PAG9113
13,DT. BANK,"11,97€","-0,66%","-0,08",16:10,3 Mio.,DE0005140008
14,DT. BÖRSE,"187,70€","+0,19%","+0,35",16:09,110 Tsd.,DE0005810055
15,DT. POST,"44,91€","-0,60%","-0,27",16:09,486 Tsd.,DE0005552004
16,DT. TELEKOM,"22,66€","+0,69%","+0,16",16:09,2 Mio.,DE0005557508
17,E.ON,"12,67€","+0,04%","+0,01",16:09,1 Mio.,DE000ENAG999
18,FRESENIUS,"26,99€","-3,19%","-0,89",16:09,498 Tsd.,DE0005785604
19,HANNO. RÜCK,"223,50€","+0,18%","+0,40",16:08,20 Tsd.,DE0008402215
20,HEIDELBERG MATERIALS O.N.,"84,92€","-0,02%","-0,02",16:09,92 Tsd.,DE0006047004
21,Henkel VZ,"73,88€","-0,78%","-0,58",16:09,92 Tsd.,DE0006048432
22,INFINEON,"34,03€","-0,69%","-0,23",16:10,1 Mio.,DE0006231004
23,MERCEDES-BENZ GRP NA O.N.,"61,41€","+0,08%","+0,05",16:09,847 Tsd.,DE0007100000
24,MERCK,"144,40€","-0,55%","-0,80",16:08,60 Tsd.,DE0006599905
25,MTU AERO,"204,60€","+0,15%","+0,30",16:08,32 Tsd.,DE000A0D9PT0
26,MÜNCH. RÜCK,"384,40€","+0,76%","+2,90",16:09,138 Tsd.,DE0008430026
27,PORSCHE AUTOM.HLDG VZO,"45,28€","+0,69%","+0,31",16:09,433 Tsd.,DE000PAH0038
28,"QIAGEN NV EO -,01","40,81€","-0,49%","-0,20",16:09,71 Tsd.,NL0012169213
29,RHEINMETALL,"314,90€","-0,28%","-0,90",16:09,112 Tsd.,DE0007030009
30,RWE ST,"38,72€","-1,25%","-0,49",16:09,613 Tsd.,DE0007037129
31,SAP,"144,34€","-0,36%","-0,52",16:10,329 Tsd.,DE0007164600
32,SARTORIUS AG VZO O.N.,"310,10€","-1,68%","-5,30",16:09,20 Tsd.,DE0007165631
33,SIEMENS,"162,40€","-0,44%","-0,72",16:09,338 Tsd.,DE0007236101
34,SIEMENS ENERGY AG NA O.N.,"12,02€","-3,37%","-0,42",16:08,3 Mio.,DE000ENER6Y0
35,SIEMENS HEALTH.AG NA O.N.,"52,60€","-1,42%","-0,76",16:08,92 Tsd.,DE000SHL1006
36,SYMRISE,"97,68€","+0,16%","+0,16",16:09,62 Tsd.,DE000SYM9999
37,VOLKSWAGEN VZ,"111,56€","-0,38%","-0,42",16:09,295 Tsd.,DE0007664039
38,VONOVIA,"27,60€","-0,50%","-0,14",16:10,1 Mio.,DE000A1ML7J1
39,ZALANDO SE,"17,78€","-2,55%","-0,46",16:09,885 Tsd.,DE000ZAL1111
